,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment 2,comment,correction
TOURBE,-0.2642733540253149,49.10824354913047,85895367.0,Polygon,Poste électrique de Tourbe,400000;225000,RTE,,,
MARMAGNE,2.2603565222038067,47.10193725938209,23286313.0,Polygon,Poste électrique de Marmagne,400000;225000;90000,RTE,,,
BAIXAS,2.804247313849911,42.73229026891491,82837097.0,Polygon,Poste électrique de Baixas,400000;225000;63000,RTE,,,
MONTEZIC (POSTE EXTERIEUR),2.638697315917708,44.73447624272051,113217487.0,Polygon,Poste électrique de Montézic,400000,RTE,,,
VERFEIL,1.6721882967844657,43.62955137980059,109817708.0,Polygon,Poste électrique de Verfeil,400000;225000;63000,RTE,,,
TAUTE,-1.3612980699609245,49.20292481021449,222188543.0,Polygon,Poste électrique de Taute,400000;90000,RTE,,,
TRICASTIN-POSTE (LE),4.715014039217056,44.32943108739126,11278540.0,MultiPolygon,Poste électrique du Tricastin,400000;225000,RTE,Duplicated OSM name: 11278540 11278540 ,,
GRANZAY,-0.5185456036053911,46.21868203266928,105630888.0,Polygon,Poste électrique de Granzay,400000;225000,RTE,,,
DOMLOUP,-1.5561146152403318,48.09291698283411,85995894.0,Polygon,Poste électrique de Domloup,400000;225000;90000,RTE,,,
LARCAY,0.7675103850826965,47.35192022790453,44883864.0,Polygon,Poste électrique de Larçay,400000;90000,RTE,,,
VIELMOULIN,4.687244564902607,47.326143973597006,179260933.0,Polygon,Poste électrique de Vieilmoulin,400000;225000;63000;20000,RTE,,No 100% match,
AGASSES (LES),4.660379365652763,43.88502716549828,1075712995.0,Polygon,Poste électrique de Les Agasses,400000,RTE,,,
SAUCATS,-0.6136875659121696,44.61410792127056,111456385.0,Polygon,Poste électrique de Saucats,400000;225000;63000,RTE,,,
ECHALAS,4.71931487472394,45.54284253568644,84476231.0,Polygon,Poste électrique de Échalas,400000;225000,RTE,,,
VINCEY,6.326423012924369,48.35379543297767,81758476.0,Polygon,Poste électrique de Vincey,400000,RTE,,,
BEZAUMONT,6.097581672005758,48.85728387840176,81665271.0,Polygon,Poste électrique de Bezaumont,400000;225000,RTE,,,
FRUGES,2.0949917942554763,50.49941655729542,421690880.0,Polygon,Poste électrique de Fruges,400000;90000;20000,RTE,,,
CALAN,-3.3029888709764506,47.88070051817389,210389707.0,Polygon,Poste électrique de Calan,400000;225000,RTE,,,
CHESNOY (LE),2.866801125788516,48.38932172009287,79866837.0,Polygon,Poste électrique du Chesnoy,400000;225000;63000,RTE,,,
ATTAQUES (LES),1.913830101628356,50.92111027676855,85198005.0,Polygon,Poste électrique des Attaques,400000;225000;90000,RTE,,,
GAUGLIN,2.8703340069062016,47.50657563574972,41829825.0,Polygon,Poste électrique de Gauglin,400000,RTE,,,
PICOCHERIE (LA),0.9756024283446082,47.57301665314604,86162998.0,Polygon,Poste électrique de La Picocherie,400000;25000,SNCF Réseau,,,
PLAUD,0.8585045671431881,45.912158083226906,112893617.0,Polygon,Poste électrique de Plaud,400000;90000,RTE,,,
VILLECHETIVE,3.4791721918917906,48.09775596894555,98390525.0,Polygon,Poste électrique de Villechétive,400000;25000,RTE,,,
QUINTES (LES),0.2404904628849691,47.88611363822258,86131984.0,Polygon,Poste électrique des Quintes,400000;22500,RTE,,,
REVIGNY,4.998007903344477,48.817862014339774,138382023.0,Polygon,Poste électrique de Révigny sur Ornain,400000;225000;63000;20000,RTE,,,
