,x,y,OSM_id,OSM_type,OSM_name,OSM_voltage,OSM_operator,comment,comment 2
VESLE,4.24055317672801,49.20151866320367,82805188.0,Polygon,Poste électrique de Vesle,400000;225000,RTE,,
GODIN,2.227691450595254,44.54078870034341,147174230.0,Polygon,Poste électrique de Godin,225000;63000,RTE,,
CRECHETS (LES),2.7135825254262884,50.66333654386318,547443051.0,Polygon,Poste électrique des Crechets,225000;90000,RTE,,
AVIGNON (POSTE),4.854952560941173,43.94818622150965,135183628.0,Polygon,Avignon,225000;63000;20000,RTE,,
ESCAILLON (L ),5.891941087949274,43.13194729250653,405909509.0,Polygon,Escaillon,225000,RTE,No 100% match,
GAUDIERE (LA),2.677401396763789,43.241045185626106,98890904.0,Polygon,Poste électrique de La Gaudière,400000;225000,RTE,,
PRESSY,6.5607927401539,46.079787607968086,147580985.0,Polygon,Poste électrique de Pressy,225000;63000,RTE,,
BEAUTOR (POSTE),3.3267038550789256,49.65394243421609,146534501.0,Polygon,Poste électrique de Beautor,225000,RTE,,
MAUBEUGE,3.929384323186035,50.2637394893529,147398275.0,Polygon,Poste électrique de Maubeuge,225000,RTE,,
ECHALAS,4.7193148747240015,45.54284253568639,84476231.0,Polygon,Poste électrique de Échalas,400000;225000,RTE,,
MOUGINS,7.007809339400569,43.5841244154942,139593701.0,Polygon,Poste électrique de Mougins,225000;63000,RTE,,
BELLE-DE-MAI,5.388441653799045,43.31047523777589,733773994.0,Polygon,Belle-de-mai,225000,Enedis,,
PONTARLIER,6.357523446442784,46.911745027955696,39575812.0,Polygon,Poste électrique de Pontarlier,225000;63000,RTE,,
FLEYRIAT,5.209880267366304,46.23238359746115,122752897.0,Polygon,Poste électrique de Fleyriat,225000;63000,RTE,,
VALENCE,4.927101192527544,44.91797786621502,133181704.0,Polygon,Valence,225000;63000;20000,RTE,,
FLANDRE,2.3768307552640717,48.889655597426895,64040271.0,Polygon,Poste électrique de Flandre,225000;20000,Enedis,,
HERIE-LA-VIEVILLE (LE),3.662200566766337,49.80888463688896,818615628.0,Polygon,Le Hérie-la-Viéville,225000,RTE,,
FRONCLES,5.148848069848608,48.294497528956974,120747628.0,Polygon,Poste électrique de Froncles,225000;63000;20000,RTE,,
ARGIESANS,6.814023099422458,47.60182420710675,123120808.0,Polygon,Poste électrique de Argiesans,225000,RTE,,
LOSCOAT,-4.4970177530090645,48.4253168640382,125550372.0,Polygon,Poste électrique de Loscoat,225000;63000;20000,RTE,,
ROUSSON,3.278460781776494,48.09467553968895,130017468.0,Polygon,Poste électrique de Rousson,225000;63000,RTE,,
YAINVILLE,0.8223870396425373,49.45951932126907,147581003.0,Polygon,Poste électrique de Yainville,225000;90000,RTE,,
PARISET,5.699779959520607,45.1801665414873,95810878.0,Polygon,Pariset,225000,RTE,,
MARLENHEIM,7.52645200218925,48.61184902188632,118086309.0,Polygon,Poste électrique de Marlenheim,400000;225000,RTE,,
ST ETIENNE DU ROUVRAY,1.10515081750056,49.36867613362774,35171597.0,Polygon,Poste électrique de Saint-Étienne-du-Rouvray,225000,RTE,No 100% match,
MIONS,4.9755449516844985,45.67434685130108,24020441.0,Polygon,Poste électrique de Mions,400000;225000;63000,RTE,,
VIELMOULIN,4.687244564902636,47.326143973596864,179260933.0,Polygon,Poste électrique de Vielmoulin,400000;225000;63000;20000,RTE,,
PIQUAGE A SAINT GERONS,2.2218949227252884,44.94669987653186,121152763.0,Polygon,Poste électrique de Gatellier,225000;90000,RTE,,
CASTELLET (LE),5.72385739901521,43.25069501797453,620325313.0,Polygon,Poste électrique du Castellet,225000,RTE,,
LANDRES,5.774121227622154,49.30753790885668,184492595.0,Polygon,Poste Electrique de Landres,225000;63000;20000,RTE,,
QUINTES (LES),0.2404904628849536,47.886113638222696,86131984.0,Polygon,Poste électrique des Quintes,400000;22500,RTE,,
VOLVIC,3.065712330501152,45.889534306292944,137191333.0,Polygon,Poste électrique de Volvic,225000;63000;20000,RTE,,
ROMAINVILLE,2.437676328633132,48.89450259734256,35538714.0,Polygon,Poste électrique de Romainville,225000,RTE,,
BACALAN,-0.5458377588121449,44.8823049865033,147394004.0,Polygon,Poste électrique de Bacalan,225000,RTE,,
LIVIERE,2.981688487125598,43.19682740317284,130459448.0,Polygon,Poste électrique de Livière,225000;63000,RTE,,
VALDIVIENNE,0.6488948603550241,46.46572161955523,105690676.0,Polygon,Poste électrique de Valdivienne,400000;225000;90000,RTE,,
JALIS,0.5872963735399371,43.62215742649771,604408491.0,Polygon,Poste de Jalis,225000;63000;20000,RTE,,
PATIS,2.1005672699182782,49.39201805130937,147580978.0,Polygon,Poste électrique de Patis,225000;63000,RTE,,
TAMAREAU,3.71616380786665,43.63265775919651,26376870.0,Polygon,Poste électrique de Tamareau,400000;225000,RTE,,
CORNIER,6.295157110410793,46.08462831232315,100500802.0,Polygon,Poste électrique de Cornier,400000;225000;63000;20000,RTE,,
AUSSOIS,6.71224842719693,45.21475850394963,146449309.0,Polygon,Poste électrique de Aussois,225000;63000,RTE,,
ST-CHAMAS,5.071219616761583,43.52762470069199,147174246.0,Polygon,Poste électrique de Saint-Chamas,250000;225000,RTE,,
DECHY,3.1389567417094595,50.36252823298376,129440971.0,Polygon,Poste électrique de Dechy,150000;225000,RTE,,Duplicated OSM name: 129440971 129440972
SARRE,3.120437727304324,45.77118329647386,43852864.0,Polygon,Poste source de la Sarre,225000,RTE,,
CONTAMINE,6.554283833950931,45.49395157068296,183105308.0,Polygon,Poste électrique de Contamine,225000;63000,RTE,,
TOURBE,-0.2642733540253098,49.10824354913047,85895367.0,Polygon,Poste électrique de Tourbe,400000;225000,RTE,,
CHAMPAGNIER,5.709151367175392,45.10635550659961,69813552.0,Polygon,Poste électrique de Champagnier,400000;225000,RTE,,
FEUILLANE,4.906242358416042,43.45490088097801,104481448.0,Polygon,Poste électrique de la Feuillane,400000;225000,RTE,,
JONQUIERES,4.583663510508495,43.82899443280969,114018928.0,Polygon,Poste électrique des Jonquières,400000;225000;63000,RTE,,
FAMARS,3.505722477144709,50.31162476441232,129624451.0,Polygon,Poste électrique de Famars,225000,RTE,,
ST-VINCENT,3.2188776201910665,43.36881814347296,113338234.0,Polygon,Poste électrique de Saint-Vincent,225000;63000,RTE,,
VENTHON-POSTE,6.403399583267282,45.693207423562,183266838.0,Polygon,Poste électrique de Venthon,42000;225000,RTE,,
CHAUSSEE (LA),4.511811489507879,48.83871518003736,164310983.0,Polygon,Poste électrique de la Chaussée,225000;63000;20000,RTE,,
SAVIGNAC,3.0337527657512644,45.10246990229314,135873560.0,Polygon,Poste électrique de Savignac,225000;63000,RTE,,
YVELINES-OUEST,1.8288185348619967,48.80437562640996,117350758.0,Polygon,Poste électrique d'Yvelines-Ouest,400000;225000,RTE,,
SAONE,6.136097967126295,47.23334206044292,589691209.0,Polygon,Poste électrique de Saône,225000,RTE,,
CHARENTON,2.406798388907224,48.82084527456937,133667044.0,Polygon,Poste électrique de Charenton,225000;63000;20000,RTE,,
MONTVICQ,2.821086947554377,46.30583191927754,75509664.0,Polygon,Poste électrique de Montvicq,225000;63000,RTE,,
GARCHIZY,3.084848482583888,47.03122422589732,142456160.0,Polygon,Poste électrique de Garchizy,225000;63000,RTE,,
MOIRANS,5.553324870452959,45.32828939534037,133637359.0,Polygon,Poste électrique de Moirans,225000,RTE,,
BEAUCHAMPS,1.5248566356044522,50.00674597240173,148059532.0,Polygon,Poste électrique de Beauchamps,225000;90000,RTE,,
GRAND-COURONNE,0.9931905251251542,49.35050586224179,119048154.0,Polygon,Poste électrique de Grand-Couronne,225000,RTE,,
TALAMET,1.9488252860371336,44.96690501819319,138979502.0,Polygon,Poste électrique de Talamet,225000;90000;63000,RTE,,
SOLEIL (LE),4.408672269629158,45.46162054945599,130549366.0,Polygon,Poste électrique du Soleil,225000;63000,RTE,,
DAMERY,3.8711134187530702,49.07579236709756,147394008.0,Polygon,Poste électrique de Damery,225000;63000,RTE,,
FALLOU,2.26137353147927,48.93790144246663,62233233.0,Polygon,Poste électrique de Fallou,225000,RTE,,
RAIE-TORTUE,2.2510593405209804,48.78857443696879,118260050.0,Polygon,Raie-Tortue,225000,RTE,,
TRAN5 / GAVRE PERTA 1,2.903556399430315,50.045875974178536,823872758.0,Polygon,Le Transloy,225000,RTE,No 100% match,
VALESCOURT,2.4515122304184613,49.482877960206615,147580998.0,Polygon,Poste électrique de Valescourt,225000,RTE,,
BERGHOLZ,7.089421714576047,48.767228900194006,193292042.0,Polygon,Poste électrique de Bergholz,225000;63000,RTE,,
BRAILLY-CORNEHOTTE,1.9678257486540096,50.23634274716516,219639224.0,Polygon,Poste électrique de Brailly-Cornehotte,225000,RTE,,
BOURGUIGNON,6.775659659715706,47.42148099122222,490191058.0,Polygon,Poste électrique du Bourguignon,225000;63000,RTE,,
MARQUIS (LE),-0.5512377637501997,45.01043482790048,105840884.0,Polygon,Poste électrique du Marquis,400000;225000;63000,RTE,,
GRANDVAL,3.0724148135584173,44.92146347942401,135855287.0,Polygon,Poste électrique de Grandval,225000,RTE,,
COQUAINVILLIERS,0.1957160546195731,49.21124264418577,85955250.0,Polygon,Poste électrique de Coquainvilliers,225000;90000,RTE,,
RIVIERE (LA),4.405885832837824,45.412722661942624,473670083.0,Polygon,Poste électrique de la Rivière,225000;63000,RTE,,
PELISSIER,2.138044628672913,43.954478836372346,112925040.0,Polygon,Pélissier,225000;63000;20000,RTE,,
DIGUE-DES-FRANCAIS,7.206854694711303,43.67657567060317,467599613.0,Polygon,Poste électrique de Digue des Francais,225000;20000,Enedis,,
BEZAUMONT,6.097581672005685,48.85728387840168,81665271.0,Polygon,Poste électrique de Bezaumont,400000;225000,RTE,,
CHABOSSIERE (LA),-1.685414512842228,47.20669609384682,92896823.0,Polygon,Poste électrique de la Chabossière,225000;63000,RTE,,
SANDOUVILLE,0.2954147464295522,49.475583872964016,34349978.0,Polygon,Poste électrique de Sandouville,225000;90000,RTE,,
VOLVON,4.321383313617878,45.55948227243152,95986421.0,Polygon,Poste électrique de Volvon,225000,RTE,,
BREUIL (LE),4.45023630403778,46.78863197864646,157504231.0,Polygon,Breuil,225000,RTE,Multiple matches,
SAUSSET,2.575599591423095,48.97613854529806,188144496.0,Polygon,Poste électrique de Sausset,400000;225000,RTE,,
LOGIS-NEUF,4.791391738240791,44.67464875775935,135314787.0,Polygon,Poste électrique de Logis-Neuf,225000;63000,RTE,,
ETIVAL,6.871716586005524,48.37883400488678,121071312.0,Polygon,Poste électrique d'Étival-Clairefontaine,225000;63000,RTE,,
MORU,2.674600620595094,49.31128967634768,118216361.0,Polygon,Poste électrique de Moru,225000;63000,RTE,,
VERLHAGUET,1.317399996766861,43.98270457722778,114359287.0,Polygon,Poste électrique de Verlhaguet,225000,RTE,,
PUISEUX,2.0130969252784565,49.05455038499652,41591146.0,Polygon,Poste électrique de Puiseux,225000;63000,RTE,,
LUTTERBACH,7.25744951807286,47.752793041701416,126417428.0,Polygon,Poste électrique de Lutterbach,225000,RTE,,
